1,Petroleum Ranger (Pvt) Ltd,128 Kilwinning Road Hatfield Harare,Fuels and Energy,t,SELLER
2,Grant Wellington Thulisa (Pvt) Ltd,5 Maiden Drive Newlands Harare,Fuels and Energy,t,SELLER
3,Raven Energy (Pvt) Ltd,27 Mazowe Street Travel Plaza,Fuels and Energy,t,SELLER
4,Deanvest Fuels (Pvt) Ltd,2 BATH ROAD Avondale Harare,Fuels and Energy,t,SELLER
5,Energy Park Bulk Fuels Pvt Ltd,22 BERTRAM ROAD Milton Park,Fuels and Energy,t,SELLER
6,GENESIS ENERGY (PVT) LTD,100 LEOPOLD TAKAWIRA Harare,Fuels and Energy,t,SELLER
7,STORM ENERGY ZIMBABWE (PVT) LTD,"6 ARUNDEL OFFICE PARK, Mount Pleasant",Fuels and Energy,t,SELLER
8,Cranrid Investments (Pvt) Ltd,3 Creswick Rd Hillside Harare,Fuels and Energy,t,SELLER
9,REDAN KEROSINE,2 RIDGEWAY SOUTH Highlands Harare,Fuels and Energy,t,SELLER
10,AYRTON INVESTMENTS (PVT) LTD,64 LYTTON Workington,Fuels and Energy,t,SELLER
11,MAGNUM PETROLEUM (PVT) LTD,8 GROOMBRIDGE MANOR Mt Pleasant,Fuels and Energy,t,SELLER
12,Slopemark (Pvt) Ltd,2270 DULIBADZIMU Beitbridge,Fuels and Energy,t,SELLER
13,STRAUSS ZIMBABWE (PVT) LTD,"3 KING GEORGE Avondale, Harare",Fuels and Energy,t,SELLER
14,PLEASED PATRONS (PVT) LTD,"0 SIMON MZORODZE RD Waterfalls, Harare",Fuels and Energy,t,SELLER
15,VELVELTEA ENTERPRISES (PVT) LTD,"4 FRANK JOHNSON Eastlea, Harare",Fuels and Energy,t,SELLER
16,PICKGLOW TRADING (PVT) LTD,"1 DUNDEE ROAD Eastlea, Harare",Fuels and Energy,t,SELLER
17,Mendip Energy (Pvt) Ltd,4856 Matidoda Park Tynwald Harare,Fuels and Energy,t,SELLER
18,Praise Petroleum (Pvt) Ltd,4 FAIRMAN CLOSE Mt Pleasant Harar,Fuels and Energy,t,SELLER
19,PETROTRADE (PVT) LTD,100 LEOPOLD TAKAWIRA TREET Harare,Fuels and Energy,t,SELLER
20,XTREME OILS (PVT)  LTD,41 LEOPOLD TKAWIRA ST Harare,Fuels and Energy,t,SELLER
21,SOUTHERN DIESEL (PVT)  LTD,"7 ALLAN WILSON AVE Belgravia, Harare",Fuels and Energy,t,SELLER
22,ZUVA PETROLEUM (PVT) LTD,"52 BIRMINGHAM ROAD Southerton, HRE",Fuels and Energy,t,SELLER
23,AFRICOIL PETROLEUM (PVT) LTD,1418 HARARE-BULAWAYO ROAD Beitbridge,Fuels and Energy,t,SELLER
24,SAKUNDA PETROLEUM (PVT) LTD,"4 TENDESEKA OFFICE PARK Eastlea, Harare",Fuels and Energy,t,SELLER
25,ZX FUELS (PVT) LTD,"7 SPURRIOR ROAD New Ardbennie, Harare",Fuels and Energy,t,SELLER
26,REDAN PETROLEUM (PVT) LTD,"2 CORONATION AVE Msasa, Harare",Fuels and Energy,t,SELLER
27,Chipinge Diesel & Agricultural Services,13 Maxwell Road Groombridge Harare,Fuels and Energy,t,SELLER
28,REDAN COUPON (PVT) LTD,4 TENDESEKA PARK Eastlea Harare,Fuels and Energy,t,SELLER
29,High Performance,"6 BARKING RD Willowvale, Harare",Fuels and Energy,t,SELLER
30,ENGEN PETROLEUM (PVT) LTD,71 KAGUVI ST Harare,Fuels and Energy,t,SELLER
31,Lake Oil Zimbabwe (Pvt) Ltd,5 Crighton Road Alex Park Harare,Fuels and Energy,t,SELLER
32,RAM PETROLEUM (PVT)  LTD,"8 KINGSMEAD ROAD Borrowdale, Harare",Fuels and Energy,t,SELLER
33,Alsaa Petroleum Zimbabwe (Pvt) Ltd,41 Old Enterprise Road Newlands Harare,Fuels and Energy,t,SELLER
34,Bionest Investments (Pvt) Ltd,6th Floor Gold Bridge Eastgate Harare,Fuels and Energy,t,SELLER
35,TOTAL ZIMBABWE (PVT) LTD,"1 AUCKLAND ROAD Southerton, Harare",Fuels and Energy,t,SELLER
36,CMED (PVT) LTD, CHITEPO/TANGWENA AVE Harare,Fuels and Energy,t,SELLER
37,Kinjay Investments (Pvt) Ltd,13 Chester Crescent Bulawayo,Fuels and Energy,t,SELLER
38,Tanaka Energy,45 Sanfold Crescent Eastlea Harare,Fuels and Energy,t,SELLER
